F, epochs, epsilon, B, weightcost, momentum, trRSME, vlRSME
4, 36, 0.01, 10, 0.001, 0.3, 0.956350301222, 1.22540042406
4, 37, 0.01, 10, 0.001, 0.3, 0.958062653303, 1.2277215139
4, 38, 0.01, 10, 0.001, 0.3, 0.964030241523, 1.23629699605
4, 39, 0.01, 10, 0.001, 0.3, 0.957066787697, 1.24019376266
4, 40, 0.01, 10, 0.001, 0.3, 0.953703582935, 1.23813069452
4, 41, 0.01, 10, 0.001, 0.3, 0.952462275175, 1.22409325591
4, 42, 0.01, 10, 0.001, 0.3, 0.951678187427, 1.21666511472
4, 43, 0.01, 10, 0.001, 0.3, 0.945830825079, 1.21302955918
4, 44, 0.01, 10, 0.001, 0.3, 0.948598781668, 1.21904218762
4, 45, 0.01, 10, 0.001, 0.3, 0.946879697231, 1.22271210007
4, 46, 0.01, 10, 0.001, 0.3, 0.940701426049, 1.21139900507
4, 47, 0.01, 10, 0.001, 0.3, 0.943958243847, 1.21636332199
4, 48, 0.01, 10, 0.001, 0.3, 0.944261943682, 1.2260193125
4, 49, 0.01, 10, 0.001, 0.3, 0.946362651829, 1.22201379894
4, 1, 0.01, 10, 0.001, 0.5, 1.17505218556, 1.21445246001
4, 2, 0.01, 10, 0.001, 0.5, 1.14311630241, 1.19072939597
4, 3, 0.01, 10, 0.001, 0.5, 1.09544517202, 1.16573127627
4, 4, 0.01, 10, 0.001, 0.5, 1.06990163687, 1.15734396559
4, 5, 0.01, 10, 0.001, 0.5, 1.06307728048, 1.1578201421
